Fisch,Name wissenschaftlich,Einzugsgebiet,Gefährdungsstatus,Kritische Temperatur °C,Minimale Temperatur °C,Kritischer O2-Grenzwert (mg/l),See,year,temperature_avg,temperature_min,temperature_max,scenario,depth,überlebt
Aal,Anguilla anguilla,"Rhein, Rhone, Doubs, Ticino",1,35.0,X,2.5,Oeschinensee,2037,9.42,8.82,10.9,RCP26,surface,True
Aal,Anguilla anguilla,"Rhein, Rhone, Doubs, Ticino",1,35.0,X,2.5,Oeschinensee,2038,9.89,8.52,10.29,RCP26,surface,True
Aal,Anguilla anguilla,"Rhein, Rhone, Doubs, Ticino",1,35.0,X,2.5,Oeschinensee,2039,9.55,8.35,10.3,RCP26,surface,True
Aal,Anguilla anguilla,"Rhein, Rhone, Doubs, Ticino",1,35.0,X,2.5,Oeschinensee,2040,9.7,9.12,11.18,RCP26,surface,True
Aal,Anguilla anguilla,"Rhein, Rhone, Doubs, Ticino",1,35.0,X,2.5,Oeschinensee,2041,9.47,8.67,10.72,RCP26,surface,True
Aal,Anguilla anguilla,"Rhein, Rhone, Doubs, Ticino",1,35.0,X,2.5,Oeschinensee,2042,9.36,8.71,9.87,RCP26,surface,True
Aal,Anguilla anguilla,"Rhein, Rhone, Doubs, Ticino",1,35.0,X,2.5,Oeschinensee,2043,8.77,8.4,9.98,RCP26,surface,True
Aal,Anguilla anguilla,"Rhein, Rhone, Doubs, Ticino",1,35.0,X,2.5,Oeschinensee,2044,9.43,9.08,10.49,RCP26,surface,True
Aal,Anguilla anguilla,"Rhein, Rhone, Doubs, Ticino",1,35.0,X,2.5,Oeschinensee,2045,9.93,8.65,10.47,RCP26,surface,True
Aal,Anguilla anguilla,"Rhein, Rhone, Doubs, Ticino",1,35.0,X,2.5,Oeschinensee,2046,9.76,9.24,10.15,RCP26,surface,True
Aal,Anguilla anguilla,"Rhein, Rhone, Doubs, Ticino",1,35.0,X,2.5,Oeschinensee,2047,10.01,9.38,11.01,RCP26,surface,True
Aal,Anguilla anguilla,"Rhein, Rhone, Doubs, Ticino",1,35.0,X,2.5,Oeschinensee,2048,9.96,9.06,10.59,RCP26,surface,True
Aal,Anguilla anguilla,"Rhein, Rhone, Doubs, Ticino",1,35.0,X,2.5,Oeschinensee,2049,10.01,7.77,10.95,RCP26,surface,True
Aal,Anguilla anguilla,"Rhein, Rhone, Doubs, Ticino",1,35.0,X,2.5,Oeschinensee,2050,9.73,8.68,10.55,RCP26,surface,True
Aal,Anguilla anguilla,"Rhein, Rhone, Doubs, Ticino",1,35.0,X,2.5,Oeschinensee,2051,9.59,8.72,10.36,RCP26,surface,True
Aal,Anguilla anguilla,"Rhein, Rhone, Doubs, Ticino",1,35.0,X,2.5,Oeschinensee,2052,10.06,8.37,10.52,RCP26,surface,True
Aal,Anguilla anguilla,"Rhein, Rhone, Doubs, Ticino",1,35.0,X,2.5,Oeschinensee,2053,9.58,8.45,10.27,RCP26,surface,True
Aal,Anguilla anguilla,"Rhein, Rhone, Doubs, Ticino",1,35.0,X,2.5,Oeschinensee,2054,9.69,8.24,10.99,RCP26,surface,True
