Name deutsch/lokal,Name wissenschaftlich,Einzugsgebiet,Gefährdungsstatus,Maggiore,Lower-Lugano,Upper-Lugano,Geneva,Lower-Constance,Upper-Constance,Upper-Zurich,Lower-Zurich,Walen,Rot,Biel,Murten,Neuchatel,Lucerne-Alpnacher,Lucerne-Gersauer,Lucerne-Kreuztrichter,Lucerne-Urnersee,Greifen,Pfaffikon,Brienz,Klontaler,Poschiavo,Joux,LacdelHongrin,LakeDavos,Oeschinensee,StMoritz,Silvaplana,Sils,Kritische Temperatur °C,Minimale Temperatur °C,Kritischer O2-Grenzwert (mg/l),Bildpfad
"Schmerle, Bartgrundel",Barbatula barbatula,"Rhein, Rhone, Doubs, Inn",4,NEIN,NEIN,NEIN,JA,JA,JA,JA,JA,JA,JA,JA,JA,JA,JA,JA,JA,JA,JA,JA,JA,JA,JA,JA,JA,JA,JA,JA,JA,JA,X,1,3.0,data/img_webscrape/img_scraper/Barbatula_barbatula_1.jpg
Kaulbarsch,Gymnocephalus cernua,"Rhein, Rhone",NG,NEIN,NEIN,NEIN,JA,JA,JA,JA,JA,JA,JA,JA,JA,JA,JA,JA,JA,JA,JA,JA,JA,JA,NEIN,JA,JA,JA,JA,NEIN,NEIN,NEIN,15,3,3.0,data/img_webscrape/img_scraper/Gymnocephalus_cernua_1.jpg
"Flussbarsch, Egli",Perca fluviatilis,"Rhein, Rhone, Doubs, Ticino, Inn",NG,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,JA,X,1,3.0,data/img_webscrape/img_scraper/Perca_fluviatilis_1.jpg
Rhonestreber,Zingel asper,Doubs,1,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,X,X,3.0,data/img_webscrape/img_scraper/Zingel_asper_1.jpg
Flussneunauge,Lampetra fluviatilis,Hochrhein,0,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,31,8,3.0,data/img_webscrape/img_scraper/Lampetra_fluviatilis_1.jpg
Bachneunauge,Lampetra planeri,"Rhein, Doubs",2,NEIN,NEIN,NEIN,NEIN,JA,JA,JA,JA,JA,JA,JA,NEIN,NEIN,JA,JA,JA,JA,JA,JA,JA,JA,NEIN,NEIN,NEIN,JA,JA,NEIN,NEIN,NEIN,17,8,3.0,data/img_webscrape/img_scraper/Lampetra_planeri_1.jpg
Piccola lampreda,Lampetra zanandreai,Ticino,1,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,19,X,3.0,data/img_webscrape/img_scraper/Lampetra_zanandreai_1.jpg
Meerneunauge,Petromyzon marinus,Hochrhein,0,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,23,3,3.0,data/img_webscrape/img_scraper/Petromyzon_marinus_1.jpg
Huchen,Hucho hucho,Inn,0,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,JA,NEIN,NEIN,NEIN,NEIN,JA,JA,JA,23,3,3.0,data/img_webscrape/img_scraper/Hucho_hucho_1.jpg
Adriatische Forelle,Salmo cenerinus,Ticino,1,JA,JA,JA,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,16,7,3.0,data/img_webscrape/img_scraper/Salmo_cenerinus_1.jpg
Donauforelle,Salmo labrax,Inn,1,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,JA,NEIN,NEIN,NEIN,NEIN,JA,JA,JA,X,1,3.0,data/img_webscrape/img_scraper/Salmo_labrax_1.jpg
